time,Vin,Vout
0.0108,-0.00979,0.2829999999999999
0.0108,-0.00947,0.27300000000000013
0.0108,-0.009,0.2629999999999999
0.0108,-0.0084,0.24299999999999988
0.0109,-0.00767,0.22299999999999986
0.0109,-0.00683,0.20299999999999985
0.0109,-0.00588,0.17300000000000004
0.0109,-0.00485,0.14300000000000024
0.0109,-0.00374,0.11299999999999999
0.011,-0.00258,0.07299999999999995
0.011,-0.000154,0.0030000000000001137
0.011,0.00228,-0.06699999999999973
0.0111,0.00345,-0.10699999999999976
0.0111,0.00458,-0.137
0.0111,0.00563,-0.16699999999999982
0.0111,0.0066,-0.19700000000000006
0.0111,0.00747,-0.22699999999999987
0.0112,0.00823,-0.2469999999999999
0.0112,0.00886,-0.2669999999999999
0.0112,0.00936,-0.2869999999999999
0.0112,0.00972,-0.29700000000000015
0.0112,0.00994,-0.30699999999999994
0.0112,0.01,-0.30699999999999994
0.0113,0.00996,-0.30699999999999994
0.0113,0.00978,-0.29700000000000015
0.0113,0.00945,-0.2869999999999999
0.0113,0.00897,-0.27700000000000014
0.0113,0.00836,-0.2570000000000001
0.0114,0.00763,-0.22699999999999987
0.0114,0.00678,-0.20699999999999985
0.0114,0.00583,-0.17700000000000005
0.0114,0.00479,-0.1469999999999998
0.0114,0.00368,-0.10699999999999976
0.0115,0.00252,-0.07699999999999996
0.0115,9e-05,0.0030000000000001137
0.0115,-0.00234,0.07299999999999995
0.0116,-0.00351,0.1030000000000002
0.0116,-0.00463,0.133
0.0116,-0.00568,0.16300000000000026
0.0116,-0.00665,0.19300000000000006
0.0116,-0.00751,0.22299999999999986
0.0117,-0.00826,0.24299999999999988
0.0117,-0.00889,0.2530000000000001
0.0117,-0.00938,0.27300000000000013
0.0117,-0.00974,0.2829999999999999
0.0117,-0.00994,0.2829999999999999
0.0117,-0.01,0.29300000000000015
0.0118,-0.00996,0.2829999999999999
0.0118,-0.00977,0.2829999999999999
0.0118,-0.00943,0.27300000000000013
0.0118,-0.00896,0.2629999999999999
0.0118,-0.00834,0.24299999999999988
0.0119,-0.00761,0.22299999999999986
0.0119,-0.00675,0.19300000000000006
0.0119,-0.0058,0.17300000000000004
0.0119,-0.00476,0.14300000000000024
0.0119,-0.00365,0.1030000000000002
0.012,-0.00248,0.07299999999999995
0.012,0.00117,-0.03699999999999992
0.012,0.00238,-0.06699999999999973
0.0121,0.00355,-0.10699999999999976
0.0121,0.00467,-0.137
0.0121,0.00572,-0.17700000000000005
0.0121,0.00668,-0.20699999999999985
0.0121,0.00754,-0.22699999999999987
0.0122,0.00829,-0.2469999999999999
0.0122,0.00891,-0.2669999999999999
0.0122,0.0094,-0.2869999999999999
0.0122,0.00975,-0.29700000000000015
0.0122,0.00995,-0.30699999999999994
